,Date,Close_BTC_USD,Vol_BTC_USD,Close_FCHI_EUR,Vol_FCHI_EUR,Close_CL=F_USD,Vol_CL=F_USD,Close_GC=F_USD,Vol_GC=F_USD,Close_DJI_USD,Vol_DJI_USD,Close_GSPC_USD,Vol_GSPC_USD,Close_IXIC_USD,Vol_IXIC_USD,Close_CNY=X,Close_EUR=X,Close_JPY=X
0,2015-11-02,361.18899500000003,101918000,4916.209961,113864200.0,46.139998999999996,305518.0,1135.800049,180.0,17828.759766,100840000,2104.050049,3760020000,5127.149902,1888180000,6.3081,0.90695,120.495003
1,2015-11-03,403.416992,206162000,4936.180176,106982700.0,47.900002,434574.0,1114.199951,185.0,17918.150391,92290000,2109.790039,4272060000,5145.129883,2028630000,6.3274,0.9077700000000001,120.788002
2,2015-11-04,411.56298799999996,263900000,4948.290039,141136400.0,46.32,459307.0,1106.5,141.0,17867.580078,99890000,2102.310059,4078870000,5142.47998,2096110000,6.3261,0.9120799999999999,121.095001
3,2015-11-05,386.35400400000003,151824992,4980.040039,174743800.0,45.200001,437646.0,1104.400024,84.0,17863.429688,98910000,2099.929932,4051890000,5127.740234000001,2054490000,6.3259,0.9201299999999999,121.489998
4,2015-11-06,374.47000099999997,122687000,4984.149902,150861200.0,44.290001000000004,448133.0,1087.599976,78.0,17910.330078,107450000,2099.199951,4369020000,5147.120117,2066430000,6.3362,0.9187799999999999,121.66999799999999
5,2015-11-09,380.25698900000003,68224400,4911.169922,101330800.0,43.869999,487992.0,1087.900024,5.0,17730.480469,121210000,2078.580078,3882350000,5095.299805,1850770000,6.3431,0.9316700000000001,123.199997
6,2015-11-10,336.819,95797904,4912.160156,112797400.0,44.209998999999996,445973.0,1088.199951,18.0,17758.210938,108640000,2081.719971,3821440000,5083.240234000001,1906120000,6.3522,0.9294100000000001,123.077003
7,2015-11-11,311.08401499999997,107070000,4952.509765999999,116077400.0,42.93,502371.0,1084.699951,15.0,17702.220703,95230000,2075.0,3692410000,5067.02002,1672340000,6.3518,0.9313100000000001,123.084
8,2015-11-12,338.152008,78477800,4856.649902,122599900.0,41.75,545351.0,1080.800049,4.0,17448.070313,113660000,2045.969971,4016370000,5005.080078,1820930000,6.3575,0.92911,122.75700400000001
9,2015-11-13,336.752991,52003000,4807.950195,114037800.0,40.740002000000004,480893.0,1080.800049,23.0,17245.240234,134640000,2023.040039,4278750000,4927.879883,2001050000,6.3593,0.92464,122.559998
10,2015-11-16,330.75100699999996,47980100,4804.310059,108609700.0,41.740002000000004,535179.0,1083.699951,11.0,17483.009766,137590000,2053.189941,3741240000,4984.620117,1819190000,6.3638,0.93458,122.363998
11,2015-11-17,335.093994,51001600,4937.310059,119347400.0,40.669998,363714.0,1068.699951,6.0,17489.5,167190000,2050.439941,4427350000,4986.02002,1861710000,6.3612,0.93563,123.265999
12,2015-11-18,334.589996,43783800,4906.720215,97351700.0,40.75,251518.0,1068.800049,5.0,17737.160156,106810000,2083.580078,3926390000,5075.200195,2017390000,6.3686,0.9395100000000001,123.445
13,2015-11-19,326.14898700000003,45011100,4915.100098,103597200.0,40.540001000000004,131356.0,1078.0,10.0,17732.75,114630000,2081.23999,3628110000,5073.640136999999,1794110000,6.3749,0.93721,123.525002
14,2015-11-20,322.022003,53152900,4910.970215,114731300.0,40.389998999999996,432642.0,1076.400024,5.0,17823.810547,153140000,2089.169922,3929600000,5104.919922,1766630000,6.373,0.9323,122.912003
15,2015-11-23,323.04599,27478900,4889.120117,96366200.0,41.75,516190.0,1066.800049,57.0,17792.679688,134680000,2086.590088,3587980000,5102.47998,1668280000,6.375,0.93976,122.922997
16,2015-11-24,320.04599,29362600,4820.279785,115225800.0,42.869999,430304.0,1074.300049,222.0,17812.189453,127170000,2089.139893,3884930000,5102.810059,1956920000,6.3793,0.9396700000000001,122.915001
17,2015-11-25,328.205994,41666900,4892.990234000001,116198900.0,43.040001000000004,383158.0,1070.5,148662.0,17813.390625,82540000,2088.8701170000004,2852940000,5116.140136999999,1539300000,6.3798,0.9395100000000001,122.504997
18,2015-11-27,358.041992,55179100,4930.140136999999,73739100.0,41.709998999999996,316475.0,1056.199951,52133.0,17813.390625,82540000,2090.110107,1466840000,5127.52002,781730000,6.3796,0.943,122.634003
19,2015-11-30,377.321014,71701600,4957.600098,113125600.0,41.650002,369509.0,1065.800049,4601.0,17719.919922,155560000,2080.409912,4275030000,5108.669922,2244550000,6.385,0.94491,122.83000200000001
20,2015-12-01,362.488007,60452200,4914.529785,127971100.0,41.849998,415537.0,1063.800049,3441.0,17888.349609,103880000,2102.6298829999996,3712120000,5156.310059,2035570000,6.3882,0.94581,123.209999
21,2015-12-02,359.18701200000004,54160500,4905.759765999999,135040300.0,39.939999,545289.0,1054.199951,503.0,17729.679688,102860000,2079.51001,3950640000,5123.220215,2060340000,6.3888,0.9411,122.915001
22,2015-12-03,361.04599,50714900,4730.209961,204118500.0,41.080002,496884.0,1061.699951,1161.0,17477.669922,126990000,2049.6201170000004,4306490000,5037.529785,2088100000,6.3888,0.94224,123.225998
23,2015-12-04,363.183014,35784100,4714.790039,158222700.0,39.970001,510758.0,1084.5,889.0,17847.630859,137650000,2091.689941,4214910000,5142.27002,1897490000,6.3875,0.91609,122.653
24,2015-12-07,395.536011,63455800,4756.410156,103508000.0,37.650002,635413.0,1076.400024,656.0,17730.509766,99670000,2077.070068,4043820000,5101.810059,1952690000,6.3911,0.9187799999999999,123.190002
25,2015-12-08,415.56298799999996,57801400,4681.859863000001,145488000.0,37.509997999999996,767184.0,1076.300049,306.0,17568.0,113720000,2063.590088,4173570000,5098.240234000001,1871450000,6.3982,0.9230200000000001,123.279999
26,2015-12-09,417.56298799999996,90917200,4637.450195,171226800.0,37.16,646166.0,1077.599976,386.0,17492.300781,122020000,2047.619995,4385250000,5022.870117,2003450000,6.4072,0.91794,122.912003
27,2015-12-10,415.47900400000003,52138900,4635.060059,139944600.0,36.759997999999996,513940.0,1073.099976,226.0,17574.75,107310000,2052.22998,3715150000,5045.169922,1746520000,6.418,0.90761,121.699997
28,2015-12-11,451.93798799999996,110944000,4549.560059,151768100.0,35.619999,505406.0,1076.900024,410.0,17265.210938,134510000,2012.369995,4301060000,4933.470215,2084950000,6.4278,0.9134,121.709999
